id_cliente,nombre,tipo,segmento,ciudad,pais,email,fecha_alta,edad
C30000,Monica Rivas,Persona,Regular,Bilbao,España,epartida@example.com,2021-06-06,26.0
C30001,Sandra Villamil,Anónimo,Anónimo,Chicago,Estados Unidos,,2023-06-07,
C30002,Caridad Cadenas Gras,Persona,Friends Plus,Bogotá,Colombia,carolynnewman@example.com,2025-03-30,28.0
C30003,Nancy Ochoa,Persona,Regular,Querétaro,México,esther32@example.net,2020-04-26,25.0
C30004,Cesar Teobaldo Ros Casares,Anónimo,Anónimo,Boston,Estados Unidos,,2023-03-11,
C30005,Lisa Rojas,Persona,Regular,Sevilla,España,daniela38@example.net,2025-03-23,55.0
C30006,Julia Sotelo Garay,Persona,Friends Plus,Austin,Estados Unidos,ysilva@example.net,2022-01-28,56.0
C30007,Patrick Savage,Persona,Regular,Cali,Colombia,fernandarincon@example.com,2021-05-03,37.0
C30008,"Lopez, Johnson and Miller",Empresa,Corporativo,BOGOTÁ,Colombia,rojaspaola@romero.com,2021-12-31,34.0
C30009,Sr. Bernardo Barraza,Persona,Regular,Valencia,España,florenciapedraza@example.org,2021-08-15,50.0
C30010,Christopher Miller,Persona,Regular,Querétaro,México,vicentesolano@example.org,2021-02-10,63.0
C30011,Nubia Salazar,Persona,Friends Plus,Mendoza,Argentina,czapata@example.com,2020-11-02,40.0
C30012,Juan Bedoya Muñoz,Anónimo,Anónimo,Barcelona,España,,2023-08-12,
C30013,Angarita-Rodríguez,Empresa,Corporativo,Valencia,España,juan61@promociones.com,2022-09-18,34.0
C30014,Sharon Collins,Persona,Regular,Guadalajara,México,cisern@example.net,2024-06-26,31.0
C30015,Oscar Booth,Anónimo,Anónimo,Sevilla,España,,2025-01-08,
C30016,Robert Parker,Persona,Regular,Cancún,México,francisco93@example.org,2025-02-09,32.0
C30017,Sandra Casillas Miramontes,Persona,Regular,Boston,Estados Unidos,msalazar@example.com,2023-03-03,44.0
C30018,Jodi Nguyen,Persona,Regular,San Francisco,Estados Unidos,alexis56@example.net,2022-02-19,49.0
C30019,Jason Williams,Persona,Regular,Querétaro,México,andres80@example.org,2023-09-03,44.0
C30020,Frida Wendolin Hinojosa,Persona,Regular,Mérida,México,marinagarcia@example.org,2023-02-14,42.0
C30021,Lonnie Black,Persona,Regular,Barranquilla,Colombia,carmen63@example.org,2020-11-21,49.0
C30022,José Mendoza Palacio,Persona,Regular,Bogotá,Colombia,maribel58@example.net,2021-08-13,43.0
C30023,Jesús Ortiz Granados,Anónimo,Anónimo,San Francisco,Estados Unidos,,2025-02-27,
C30024,Andrea Sheppard,Persona,Friends Plus,Sevilla,España,oalexander@example.org,2022-06-12,45.0
C30025,Fernanda Ortiz Mena,Anónimo,Anónimo,Los Ángeles,Estados Unidos,,2021-09-30,
C30026,Ignacio Aldo Candelaria Espinoza,Persona,Regular,Guadalajara,México,zjones@example.org,2023-02-14,25.0
C30027,Jaime Ramírez,Persona,Regular, Cali,Colombia,madrigalmarcela@example.net,2024-08-15,45.0
C30028,Cristina Carolina Páez Hernández,Anónimo,Anónimo,Los Ángeles,Estados Unidos,,2021-08-26,
C30029,Julio Gilberto Villalobos,Persona,Friends Plus,Córdoba,Argentina,james25@example.com,2025-01-23,22.0
C30030,Eloísa Rosalva Avilés Ochoa,Persona,Regular,Querétaro,México,ainoa04@example.org,2023-11-12,64.0
C30031,Tiffany Reeves,Anónimo,Anónimo,Medellín ,Colombia,,2022-08-11,
C30032,Gerson Pinto,Anónimo,Anónimo,Miami,Estados Unidos,,2024-01-27,
C30033,Ing. Cristobal Arreola,Persona,Regular,Cali,Colombia,alfonso13@example.net,2024-08-05,31.0
C30034,Emma Ramírez,Anónimo,Anónimo,Cancún,México,,2020-10-18,
C30035,Soliz y Patiño e Hijos,Empresa,Corporativo,Austin,Estados Unidos,benitomuniz@saenz.com,2021-09-19,45.0
C30036,Salma Sosa,Persona,Regular,Austin,Estados Unidos,wterrazas@example.org,2023-09-08,56.0
C30037,Amy George,Persona,Regular,Sevilla,España,mikaylakennedy@example.org,2021-01-13,56.0
C30038,Germán Manuel Garza,Persona,Regular,Madrid,España,ignacio70@example.org,2024-06-26,54.0
C30039,James Lang,Persona,Regular,Barranquilla,Colombia,judithmata@example.org,2023-08-31,24.0
C30040,Luisa Noelia Preciado,Anónimo,Anónimo,Ciudad de México,México,,2020-10-04,
C30041,Jacob Lewis,Persona,Regular,Cartagena,Colombia,kelsey35@example.net,2021-08-27,30.0
C30042,Aurelio Maximiliano del Valle Garay,Anónimo,Anónimo,Chicago,Estados Unidos,,2022-08-17,
