id_vendedor,nombre,equipo,supervisor,pais,fecha_ingreso,activo
5000,Alberto Andrés Bolívar,Mañana,Adalberto Luis Hinojosa,Estados Unidos,2024-04-07,True
5001,María Beatriz Hurtado,Noche,Eduar Pérez,Estados Unidos,2019-03-31,True
5002,Heather Cruz,Noche,Eduar Pérez,Estados Unidos,2022-07-31,True
5003,Ciriaco Andrade Puente,Noche,Adalberto Luis Hinojosa,Estados Unidos,2020-04-03,True
5004,Adán Lloret Tejero,Fin de semana,Adalberto Luis Hinojosa,Estados Unidos,2021-03-30,True
5005,Zeferino Silvano Burgos Duarte,Noche,Adalberto Luis Hinojosa,Estados Unidos,2024-07-13,True
5006,Salma Solís Matías,Tarde,Adalberto Luis Hinojosa,Estados Unidos,2024-08-05,True
5007,Leidy Dolly Duarte Prieto,Fin de semana,Adalberto Luis Hinojosa,Estados Unidos,2025-01-06,True
5008,Rolando Leal,Mañana,Adalberto Luis Hinojosa,Estados Unidos,2020-09-16,True
5009,María Cristina Reyna Ulibarri,Mañana,Eduar Pérez,Estados Unidos,2024-09-23,True
5010,Eloy Partida,Tarde,Eduar Pérez,Estados Unidos,2023-02-15,True
5011,Eliecer Gerardo Narváez,Mañana,Adalberto Luis Hinojosa,Estados Unidos,2024-06-08,True
5012,Eutimio Peralta Landa,Noche,Adalberto Luis Hinojosa,Estados Unidos,2025-01-29,True
5013,Mónica Gaitán,Tarde,Eduar Pérez,Estados Unidos,2023-11-15,True
5014,Eduardo Corredor Delgado,Noche,Eduar Pérez,Estados Unidos,2023-04-30,True
5015,Patricia Elena Vásquez,Noche,Eduar Pérez,Estados Unidos,2019-05-10,True
5016,Vinicio Marco Marquez,Mañana,Adalberto Luis Hinojosa,Estados Unidos,2022-01-14,True
5017,Cecilia Agustí Tenorio,Tarde,Adalberto Luis Hinojosa,Estados Unidos,2022-01-09,True
5018,Ale Escobar,Noche,Eduar Pérez,Estados Unidos,2023-08-02,True
5019,Alberto Carnero Villa,Mañana,Adalberto Luis Hinojosa,Estados Unidos,2022-03-09,False
5020,Jesús Sebastián Carvajal,Mañana,Bernardo Rolando Velázquez,México,2020-01-29,True
5021,Jairo Ramón Bonilla,Tarde,Amy Young,México,2021-03-26,True
5022,Jos Nicolás Samaniego,Mañana,Bernardo Rolando Velázquez,México,2023-09-23,True
5023,Nilda Sarmiento Ochoa,Tarde,Amy Young,México,2019-08-03,True
5024,Alexis Fernando Durán Pérez,Noche,Bernardo Rolando Velázquez,México,2023-04-22,True
5025,Zoé Salcido Padrón,Mañana,Bernardo Rolando Velázquez,México,2020-07-03,True
5026,Constanza Olivé Ordóñez,Noche,Amy Young,México,2024-01-07,True
5027,Jeremy Knight,Noche,Bernardo Rolando Velázquez,México,2022-09-01,True
5028,Bianca Maya Jáquez,Mañana,Amy Young,México,2021-03-30,True
5029,Maura del Guillén,Fin de semana,Bernardo Rolando Velázquez,México,2020-03-21,False
5030,Jorge Cruz,Fin de semana,Amy Young,México,2022-05-26,True
5031,Fredy Enrique Duarte,Mañana,Amy Young,México,2024-10-08,True
5032,Feliciana Murillo Barreda,Tarde,Amy Young,México,2025-02-28,True
5033,Eliseo Iniesta Castrillo,Noche,Amy Young,México,2023-12-04,True
5034,Rebekah York,Mañana,Bernardo Rolando Velázquez,México,2021-11-18,False
5035,Myriam Acevedo,Noche,Bernardo Rolando Velázquez,México,2021-10-11,True
5036,Dary Rocío Trujillo Arias,Mañana,Bernardo Rolando Velázquez,México,2023-08-02,True
5037,Ana Yury Valderrama,Noche,Amy Young,México,2024-02-27,True
5038,Aristides Loreto Rincón Vélez,Fin de semana,Bernardo Rolando Velázquez,México,2019-12-02,True
5039,Saúl Gómez,Mañana,Bernardo Rolando Velázquez,México,2023-01-02,True
5040,Inés Matías Zepeda,Noche,Daniel Ford,Colombia,2021-03-04,True
5041,Sara Johnson,Noche,Daniel Ford,Colombia,2020-02-18,True
5042,Anderson Antonio Tovar Ramírez,Mañana,Daniel Ford,Colombia,2023-05-11,True
5043,Kevin Briggs,Mañana,Daniel Ford,Colombia,2025-03-05,True
